,Lmtd
982,3.3370008
983,3.3374314
984,3.3374875
985,3.3384857000000006
986,3.3387212999999996
987,3.3392266999999998
988,3.3401422999999997
989,3.3410358000000002
990,3.3432324
991,3.3435477999999996
992,3.3462998999999995
993,3.3477544999999997
994,3.3487279
995,3.3498832999999997
996,3.3503802000000005
997,3.3505881
998,3.3507117999999996
999,3.3511182999999996
1000,3.3525660000000004
1001,3.3549056000000004
1002,3.3551488
1003,3.3557726999999997
1004,3.3585352999999993
1005,3.3600868999999998
1006,3.3602559999999997
1007,3.3605150999999998
1008,3.3620318999999994
1009,3.3621523
1010,3.3630774
1011,3.3645742
1012,3.3648467000000006
1013,3.36619
1014,3.3676252
1015,3.3685038
1016,3.368618
1017,3.3691498999999996
1018,3.3695912000000003
1019,3.3711184999999997
1020,3.3717566
1021,3.3725753
1022,3.3727392999999997
1023,3.3733828000000003
1024,3.3739328
1025,3.3745307999999996
1026,3.3754482000000006
1027,3.3754957
1028,3.3758936
1029,3.3775542
1030,3.3783318999999996
1031,3.3784685
1032,3.3801394
1033,3.3806097999999998
1034,3.3807511
1035,3.3816285
1036,3.3820686
1037,3.3824767999999996
1038,3.3827384
1039,3.3843479
1040,3.3863833
1041,3.3864080999999997
1042,3.3882782
1043,3.3904436000000002
1044,3.3914096
1045,3.3915262000000004
1046,3.3918983999999996
1047,3.3929532
1048,3.3932056000000004
1049,3.3933814
1050,3.3940415
1051,3.394074
1052,3.3947971
1053,3.3957733999999995
1054,3.3957884
1055,3.3972766000000005
1056,3.3977282
1057,3.4003561
1058,3.4006127999999998
1059,3.4009745000000002
1060,3.4014794999999998
1061,3.4027483
1062,3.403626
1063,3.4057686
1064,3.4079157999999996
1065,3.4097807
1066,3.4105229
1067,3.4119432
1068,3.4121637000000002
1069,3.4122269
1070,3.4139051
1071,3.4143207
1072,3.4152133
1073,3.4155834
1074,3.4159083
1075,3.4179977999999998
1076,3.4181662000000004
1077,3.4199159
1078,3.4201055
1079,3.4220207
1080,3.4225123
1081,3.4225434999999997
1082,3.4247699000000003
1083,3.4256811000000003
1084,3.4284760999999997
1085,3.4285681000000006
1086,3.4308547999999996
1087,3.4319794000000003
1088,3.4335972999999997
1089,3.4337858999999997
1090,3.4338867999999994
1091,3.4347265
1092,3.4359107000000004
1093,3.4362248999999996
1094,3.4378707000000004
1095,3.4392369
1096,3.4412017
1097,3.4422330999999997
1098,3.4440866000000003
1099,3.4445984
1100,3.4449961000000004
1101,3.4465513
1102,3.4472599
1103,3.4526803
1104,3.4530296000000003
1105,3.4535296000000004
1106,3.4540815
1107,3.456141
1108,3.4590516000000004
1109,3.4593928
1110,3.4595897000000004
1111,3.4599523999999997
1112,3.4603591000000002
1113,3.4623712999999996
1114,3.4630165
1115,3.4635705999999997
1116,3.4648532999999997
1117,3.4661402999999997
1118,3.4661801
1119,3.4665272000000003
1120,3.4676714
1121,3.4679057999999996
1122,3.4687421
1123,3.4687817
1124,3.4688401
1125,3.4719851000000004
1126,3.4728538999999996
1127,3.4737557999999997
1128,3.4738777
1129,3.4745673999999998
1130,3.4752178
